Data Lake Object Name,Data Lake Object Category,DLO Field Name,DLO Field API Name,Data Type,DMO Name,DMO API Name,DMO Field Name,DMO Field API Name,DMO Field Data Type,DMO Type,DMO Category,Primary Key/Engagement Date,Custom Field
Account_Home,Profile,BillingPostalCode,BillingPostalCode__c,text,,,,,,,,Not Mapped — map via Contact Point Address,
Account_Home,Profile,BillingCountry,BillingCountry__c,text,,,,,,,,Not Mapped — map via Contact Point Address,
Account_Home,Profile,BillingLatitude,BillingLatitude__c,numeric,,,,,,,,Not Mapped — map via Contact Point Address,
Account_Home,Profile,BillingLongitude,BillingLongitude__c,numeric,,,,,,,,Not Mapped — map via Contact Point Address,
Account_Home,Profile,BillingGeocodeAccuracy,BillingGeocodeAccuracy__c,text,,,,,,,,Not Mapped,
Account_Home,Profile,ShippingStreet,ShippingStreet__c,text,,,,,,,,Not Mapped — map via Contact Point Address,
Account_Home,Profile,ShippingCity,ShippingCity__c,text,,,,,,,,Not Mapped — map via Contact Point Address,
Account_Home,Profile,ShippingState,ShippingState__c,text,,,,,,,,Not Mapped — map via Contact Point Address,
Account_Home,Profile,ShippingPostalCode,ShippingPostalCode__c,text,,,,,,,,Not Mapped — map via Contact Point Address,
Account_Home,Profile,ShippingCountry,ShippingCountry__c,text,,,,,,,,Not Mapped — map via Contact Point Address,
Account_Home,Profile,ShippingLatitude,ShippingLatitude__c,numeric,,,,,,,,Not Mapped — map via Contact Point Address,
Account_Home,Profile,ShippingLongitude,ShippingLongitude__c,numeric,,,,,,,,Not Mapped — map via Contact Point Address,
Account_Home,Profile,ShippingGeocodeAccuracy,ShippingGeocodeAccuracy__c,text,,,,,,,,Not Mapped,
Account_Home,Profile,PersonEmail,PersonEmail__c,text,,,,,,,,Not Mapped — map via Individual/Contact Point Email,
Account_Home,Profile,FirstName,FirstName__c,text,,,,,,,,Not Mapped — map via Individual DMO,
Account_Home,Profile,LastName,LastName__c,text,,,,,,,,Not Mapped — map via Individual DMO,
Account_Home,Profile,Salutation,Salutation__c,text,,,,,,,,Not Mapped — map via Individual DMO,
Account_Home,Profile,PersonTitle,PersonTitle__c,text,,,,,,,,Not Mapped — map via Individual DMO,
Account_Home,Profile,PersonBirthdate,PersonBirthdate__c,timestamptz,,,,,,,,Not Mapped — map via Individual DMO,
Account_Home,Profile,PersonGender,PersonGender__c,text,,,,,,,,Not Mapped — map via Individual DMO,
Account_Home,Profile,PersonGenderIdentity,PersonGenderIdentity__c,text,,,,,,,,Not Mapped — map via Individual DMO,
Account_Home,Profile,PersonPronouns,PersonPronouns__c,text,,,,,,,,Not Mapped — map via Individual DMO,
Account_Home,Profile,PersonMobilePhone,PersonMobilePhone__c,text,,,,,,,,Not Mapped — map via Contact Point Phone,
Account_Home,Profile,PersonHomePhone,PersonHomePhone__c,text,,,,,,,,Not Mapped — map via Contact Point Phone,
Account_Home,Profile,PersonOtherPhone,PersonOtherPhone__c,text,,,,,,,,Not Mapped — map via Contact Point Phone,
Account_Home,Profile,PersonMailingStreet,PersonMailingStreet__c,text,,,,,,,,Not Mapped — map via Contact Point Address,
Account_Home,Profile,PersonMailingCity,PersonMailingCity__c,text,,,,,,,,Not Mapped — map via Contact Point Address,
Account_Home,Profile,PersonMailingState,PersonMailingState__c,text,,,,,,,,Not Mapped — map via Contact Point Address,
Account_Home,Profile,PersonMailingPostalCode,PersonMailingPostalCode__c,text,,,,,,,,Not Mapped — map via Contact Point Address,
Account_Home,Profile,PersonMailingCountry,PersonMailingCountry__c,text,,,,,,,,Not Mapped — map via Contact Point Address,
Account_Home,Profile,PersonMailingLatitude,PersonMailingLatitude__c,numeric,,,,,,,,Not Mapped — map via Contact Point Address,
Account_Home,Profile,PersonMailingLongitude,PersonMailingLongitude__c,numeric,,,,,,,,Not Mapped — map via Contact Point Address,
Account_Home,Profile,PersonOtherStreet,PersonOtherStreet__c,text,,,,,,,,Not Mapped — map via Contact Point Address,
Account_Home,Profile,PersonOtherCity,PersonOtherCity__c,text,,,,,,,,Not Mapped — map via Contact Point Address,
Account_Home,Profile,PersonOtherState,PersonOtherState__c,text,,,,,,,,Not Mapped — map via Contact Point Address,
Account_Home,Profile,PersonOtherPostalCode,PersonOtherPostalCode__c,text,,,,,,,,Not Mapped — map via Contact Point Address,
Account_Home,Profile,PersonOtherCountry,PersonOtherCountry__c,text,,,,,,,,Not Mapped — map via Contact Point Address,
Account_Home,Profile,PersonIndividual,PersonIndividualId__c,text,,,,,,,,Not Mapped — Individual link,
Account_Home,Profile,PersonContact,PersonContactId__c,text,,,,,,,,Not Mapped — Contact link,
Account_Home,Profile,PersonLeadSource,PersonLeadSource__c,text,,,,,,,,Not Mapped,
Account_Home,Profile,PersonMaritalStatus,PersonMaritalStatus__c,text,,,,,,,,Not Mapped,
Account_Home,Profile,PersonAssistantName,PersonAssistantName__c,text,,,,,,,,Not Mapped,
Account_Home,Profile,PersonAssistantPhone,PersonAssistantPhone__c,text,,,,,,,,Not Mapped,
Account_Home,Profile,PersonDepartment,PersonDepartment__c,text,,,,,,,,Not Mapped,
Account_Home,Profile,PersonDeceasedDate,PersonDeceasedDate__c,timestamptz,,,,,,,,Not Mapped,
Account_Home,Profile,PersonEmailBouncedDate,PersonEmailBouncedDate__c,timestamptz,,,,,,,,Not Mapped,
Account_Home,Profile,PersonEmailBouncedReason,PersonEmailBouncedReason__c,text,,,,,,,,Not Mapped,
Account_Home,Profile,PersonDoNotCall,PersonDoNotCall__c,text,,,,,,,,Not Mapped — consent,
Account_Home,Profile,PersonHasOptedOutOfEmail,PersonHasOptedOutOfEmail__c,text,,,,,,,,Not Mapped — consent,
Account_Home,Profile,PersonHasOptedOutOfFax,PersonHasOptedOutOfFax__c,text,,,,,,,,Not Mapped — consent,
Account_Home,Profile,HasPrivacyHold,HasPrivacyHold__c,text,,,,,,,,Not Mapped — privacy,
Account_Home,Profile,IsPersonAccount,IsPersonAccount__c,text,,,,,,,,Not Mapped — system,
Account_Home,Profile,IsActive,IsActive__c,text,,,,,,,,Not Mapped,
Account_Home,Profile,IsBuyer,IsBuyer__c,text,,,,,,,,Not Mapped,
Account_Home,Profile,IsPartner,IsPartner__c,text,,,,,,,,Not Mapped,
Account_Home,Profile,IsCustomerPortal,IsCustomerPortal__c,text,,,,,,,,Not Mapped — system,
Account_Home,Profile,IsDeleted,IsDeleted__c,text,,,,,,,,Not Mapped — system,
Account_Home,Profile,IsLocked,IsLocked__c,text,,,,,,,,Not Mapped — system,
Account_Home,Profile,IsPriorityRecord,IsPriorityRecord__c,text,,,,,,,,Not Mapped — system,
Account_Home,Profile,IsExcludedFromRealign,IsExcludedFromRealign__c,text,,,,,,,,Not Mapped — system,
Account_Home,Profile,CurrencyIsoCode,CurrencyIsoCode__c,text,,,,,,,,Not Mapped,
Account_Home,Profile,ChannelProgramName,ChannelProgramName__c,text,,,,,,,,Not Mapped,
Account_Home,Profile,ChannelProgramLevelName,ChannelProgramLevelName__c,text,,,,,,,,Not Mapped,
Account_Home,Profile,EffectiveDate,EffectiveDate__c,timestamptz,,,,,,,,Not Mapped,
Account_Home,Profile,EndDate,EndDate__c,timestamptz,,,,,,,,Not Mapped,
Account_Home,Profile,OperatingHours,OperatingHoursId__c,text,,,,,,,,Not Mapped,
Account_Home,Profile,Jigsaw,Jigsaw__c,text,,,,,,,,Not Mapped,
Account_Home,Profile,JigsawCompany,JigsawCompanyId__c,text,,,,,,,,Not Mapped,
Account_Home,Profile,MasterRecord,MasterRecordId__c,text,,,,,,,,Not Mapped — system,
Account_Home,Profile,RecordType,RecordTypeId__c,text,,,,,,,,Not Mapped — system,
Account_Home,Profile,SourceSystemIdentifier,SourceSystemIdentifier__c,text,,,,,,,,Not Mapped — system,
Account_Home,Profile,SourceSystemModifiedDate,SourceSystemModifiedDate__c,timestamptz,,,,,,,,Not Mapped — system,
Account_Home,Profile,SfdcOrganizationId,SfdcOrganizationId__c,text,,,,,,,,Not Mapped — system,
Account_Home,Profile,cdp_sys_SourceVersion,cdp_sys_SourceVersion__c,text,,,,,,,,Not Mapped — system,
Account_Home,Profile,CreatedBy,CreatedById__c,text,,,,,,,,Not Mapped — system,
Account_Home,Profile,LastModifiedBy,LastModifiedById__c,text,,,,,,,,Not Mapped — system,
Account_Home,Profile,LastReferencedDate,LastReferencedDate__c,timestamptz,,,,,,,,Not Mapped — UI tracking,
Account_Home,Profile,LastViewedDate,LastViewedDate__c,timestamptz,,,,,,,,Not Mapped — UI tracking,
Account_Home,Profile,SystemModstamp,SystemModstamp__c,timestamptz,,,,,,,,Not Mapped — system,
Account_Home,Profile,PersonLastCURequestDate,PersonLastCURequestDate__c,timestamptz,,,,,,,,Not Mapped — system,
Account_Home,Profile,PersonLastCUUpdateDate,PersonLastCUUpdateDate__c,timestamptz,,,,,,,,Not Mapped — system,
Account_Home,Profile,PersonSequenceInMultipleBirth,PersonSequenceInMultipleBirth__c,numeric,,,,,,,,Not Mapped,
Account_Home,Profile,PersonOtherGeocodeAccuracy,PersonOtherGeocodeAccuracy__c,text,,,,,,,,Not Mapped,
Account_Home,Profile,PersonOtherLatitude,PersonOtherLatitude__c,numeric,,,,,,,,Not Mapped,
Account_Home,Profile,PersonOtherLongitude,PersonOtherLongitude__c,numeric,,,,,,,,Not Mapped,
Account_Home,Profile,PersonMailingGeocodeAccuracy,PersonMailingGeocodeAccuracy__c,text,,,,,,,,Not Mapped,
